 ApplyEyeMakeup, a woman is putting on makeup
 ApplyLipstick, a woman is putting on lipstick
 Archery, a man shoots a bow and arrow
 BabyCrawling, a baby is crawling on the floor
 BalanceBeam, a woman is on a rectangular gymnastics beam
 BandMarching, people are marching down the street playing music
 BaseballPitch, a man throws a baseball
 Basketball, men are playing basketball
 BasketballDunk, a man jumps and dunks the basketball
 BenchPress, a man is lifting weights by laying on a bench
 Biking, people are riding bikes
 Billiards, a man is playing billiards
 BlowDryHair, a woman is drying her hair
 BlowingCandles, a boy blows out candles on a cake
 BodyWeightSquats, a person is lifting weights by squatting
 Bowling, a person is bowling
 BoxingPunchingBag, a man is punching a bag
 BoxingSpeedBag, a man punches a bag in the air quickly
 BreastStroke, a woman is swimming
 BrushingTeeth, a boy brushes his teeth
 CleanAndJerk, a person is lifting weights by squatting 
 CliffDiving, a person jumps off a cliff
 CricketBowling, a person throws a cricket ball
 CricketShot, a person hits a ball with a bat
 CuttingInKitchen, a person is cutting using a knife in the kitchen
 Diving, a person jumps off a diving board
 Drumming, people are drumming
 Fencing, people are fencing
 FieldHockeyPenalty,a person hits a hockey ball towards a goal post
 FloorGymnastics, a girl does gymnastics
 FrisbeeCatch, a person jumps and catches a frisbee
 FrontCrawl, a person is swimming freestyle
 GolfSwing, a man swings a golf club
 Haircut, a person is getting a hair cut
 Hammering, a person is hitting nails with a hammer
 HammerThrow, a person spins and throws an object
 HandstandPushups, a person stands upside down on their hands and does pushup
 HandstandWalking, a person stands upside down on their hands and walks
 HeadMassage, a person gets their head massaged
 HighJump, a man jumps over a bar and lands on his back
 HorseRace, horses are racing around a track
 HorseRiding, a woman rides a horse
 HulaHoop, a person spins a hoop around their waist
 IceDancing, people are ice skating
 JavelinThrow, a person throws a spear
 JugglingBalls, a person is juggling balls
 JumpingJack, a person jumps and swings his arms
 JumpRope, a girl is jumping rope
 Kayaking,people are in a kayak on a lake
 Knitting, a woman is knitting
 LongJump, a person runs and jumps into a sand pit
 Lunges, a person bends to the ground with one knee
 MilitaryParade, people are marching and waving a flag
 Mixing, a person is mixing in a bowl in the kitchen
 MoppingFloor, a man mops the floor
 Nunchucks, a person swings nun chucks
 ParallelBars, a person does gymnastics on the parallel bars
 PizzaTossing, a man is making a pizza
 PlayingCello, a person is playing the cello
 PlayingDaf, a person moves a circle and hits it
 PlayingDhol, a person hits on a drum
 PlayingFlute, a person blow into a flute
 PlayingGuitar, a person strums a guitar
 PlayingPiano, a person plays music by typing on a piano 
 PlayingSitar, a person plays a funny guitar
 PlayingTabla, a person plays two drums
 PlayingViolin, a person plays the violin
 PoleVault, a person runs with a pole and launches into the air
 PommelHorse, a person spins around on their hands
 PullUps, a person does hangs on a bar and pulls up
 Punch, someone punches another person
 PushUps, a man does pushups
 Rafting, people are rafting on a river
 RockClimbingIndoor, a person is climbing up rocks
 RopeClimbing, a person climbs a rope
 Rowing, people are in a canoe and rowing
 SalsaSpin, people are dancing and spinning
 ShavingBeard, a man shaves his beard
 Shotput, a person spins and launches a ball
 SkateBoarding, a man is skateboarding
 Skiing, people are skiing on a mountain
 Skijet, a person rides a jetski in the ocean
 SkyDiving, people are falling out of the sky
 SoccerJuggling, a person is playing with a soccer ball
 StillRings, a man holds in the air on rings
 SumoWrestling, two fat people are wrestling
 Surfing, a man is surfing in the ocean
 Swing, a baby is swinging
 TableTennisShot, people are playing table tennis
 TaiChi, people are doing tai chi
 TennisSwing, a woman hits a tennis ball
 ThrowDiscus, a person spins and throws a disk
 TrampolineJumping, kids are jumping on a trampoline
 Typing, a person is typing at a computer
 UnevenBars,a person does gymnastics on uneven bars 
 VolleyballSpiking, people hit a volleyball
 WalkingWithDog, a person walks a dog
 WallPushups, a person stands straight and does pushups on the wall
 WritingOnBoard, a person is writing on the wall
 YoYo, a person plays with a yoyo
SoccerPenalty,a person hits a soccer ball with his foot towards a goal post
